address,city,state,zipcode,latitude,longitude
32151 Camino Capistrano,San Juan Capistrano,California (CA),92675,33.49586201063164,-117.6635249879507
3977 Higuera Street,San Luis Obispo,California (CA),93401,35.24501998687397,-120.67327698724031
1820-22 S Grant Street,San Mateo,California (CA),94402,37.554564013869765,-122.30261402311857
45 W Hillsdale Blvd,San Mateo,California (CA),94403,37.5353420048651,-122.29837101991212
337 3rd St,San Rafael,California (CA),94901,37.96954898069126,-122.51634903369302
300 Market Place,San Ramon,California (CA),94583,37.76348959162386,-121.94983721472968
3329 S Bristol St,Santa Ana,California (CA),92704,33.70096299038313,-117.8848170386091
3025 De La Vina St,Santa Barbara,California (CA),93105,34.43890599740618,-119.72893900225355
222 North Milpas Street,Santa Barbara,California (CA),93103,34.42417585719662,-119.68229956743696
26517 Bouquet Canyon Rd,Santa Clarita,California (CA),91350,34.42816663409725,-118.53662778667311
700 Front St,Santa Cruz,California (CA),95060,36.974551988288084,-122.02430198063342
1303 S Bradley Rd,Santa Maria,California (CA),93454,34.937701991264575,-120.42129702885696
500 Broadway,Santa Monica,California (CA),90401,34.015757014982285,-118.49200797197037
3212 Pico Blvd,Santa Monica,California (CA),90405,34.026334012870834,-118.45584299343444
2300 Wilshire Blvd #101,Santa Monica,California (CA),90403,34.033366010539865,-118.48020600084226
2100 Santa Rosa Ave,Santa Rosa,California (CA),95407,38.41748945341328,-122.71212673872343
3225 Cleveland Ave,Santa Rosa,California (CA),95403,38.47359087247102,-122.73217717312843
14119 Riverside Dr,Sherman Oaks,California (CA),91423,34.15797901067789,-118.44082295822018
2975-A Cochran St,Simi Valley,California (CA),93065,34.28107798764532,-118.738493006089
301 MC Lellan Dr,South San Francisco,California (CA),94080,37.664932011470626,-122.44614296706679
613 Mission St,S. Pasadena,California (CA),91030,34.11529400111888,-118.16292799923706
6535 Pacific Ave,Stockton,California (CA),95207,38.00947682954831,-121.32013389694876
11976 Ventura Blvd,Studio City,California (CA),91604,34.14287599462219,-118.39331298991726
316 West El Camino Real,Sunnyvale,California (CA),94087,37.3681659937688,-122.03610101809544
40665 Winchester Rd,Temecula,California (CA),92591,33.528870993074435,-117.15610502155317
1111 Rossi Road,Templeton,California (CA),93465,35.54194601510741,-120.71517803739532
125 N Reino Road,Thousand Oaks,California (CA),91320,34.1799349869508,-118.95362997378857
451 Avenida De Los Arboles,Thousand Oaks,California (CA),91360,34.218794998814715,-118.86917198955508
10130 Riverside Dr,Toluca Lake,California (CA),91602,34.15190699237954,-118.35191896108535
19720 Hawthorne Blvd,Torrance,California (CA),90503,33.852270005202044,-118.35325696428924
2545 Pacific Coast Hwy,Torrance,California (CA),90505,33.79064298411396,-118.32986198287917
1198 Irvine Blvd.,Tustin,California (CA),92780,33.74782431037153,-117.8089724292744
1795 S. Victoria Ave,Ventura,California (CA),93003,34.25726198323875,-119.2117859698887
103 S Mills Rd,Ventura,California (CA),93003,34.271672989368284,-119.24920597078707
1372 S California Blvd,Walnut Creek,California (CA),94596,37.89309001429616,-122.06049202105984
8645 S Sepulveda,Westchester,California (CA),90045,33.95873400567041,-118.3967110134646
6751 Fallbrook Ave,West Hills,California (CA),91307,34.192961009309144,-118.62581600371087
8611 Santa Monica Blvd,West Hollywood,California (CA),90069,34.08807201035697,-118.37981896399512
7310 Santa Monica Blvd,West Hollywood,California (CA),90046,34.090022982140084,-118.34926198159775
3835 E Thousand Oaks Blvd,Westlake Village,California (CA),91362,34.163448998780666,-118.82469199543107
15025 E Whittier Blvd,Whittier,California (CA),90603,33.94928097908817,-118.00542298611506
21055 Ventura Blvd,Woodland Hills,California (CA),91364,34.167244995090755,-118.59234597468392
19655 Yorba Linda Blvd,Yorba Linda,California (CA),92886,33.88974499138526,-117.79228300684704
1906 28th St,Boulder,Colorado (CO),80301,40.020262980843086,-105.25780503882925
5342 N Nevada Ave,Colorado Springs,Colorado (CO),80918,38.90724099655972,-104.81727400087624
5338 N Nevada Avenue,Colorado Springs,Colorado (CO),80918,38.9051313514184,-104.81719368938393
661 Logan Street,Denver,Colorado (CO),80203,39.72693899168024,-104.98270997078284
790 N Colorado Blvd,Denver,Colorado (CO),80206,39.72882299205699,-104.94028798534548
750 N Colorado Blvd,Denver,Colorado (CO),80206,39.72882299205699,-104.94028798534548
"3500 S College Ave, Ste 110",Fort Collins,Colorado (CO),80525,40.53929599027117,-105.07527602141504
"5910 S University Blvd, Suite E1",Greenwood Village,Colorado (CO),80121,39.60826800652234,-104.95818502500569
8055 West Bowles Ave,Littleton,Colorado (CO),80123,39.612175985058855,-105.08891497044308
18374 Cottonwood Drive #150,Parker,Colorado (CO),80138,39.55639999339189,-104.7776489727095
113 Mill Plain Rd,Danbury,Connecticut (CT),06811,41.392689990528254,-73.52289702441678
436 Boston Post Rd,Darien,Connecticut (CT),06820,41.08448622149599,-73.4626322448226
2258 Black Rock Turnpike,Fairfield,Connecticut (CT),06825,41.18305398206368,-73.25350097997743
400 Hebron Ave,Glastonbury,Connecticut (CT),06033,41.713638731145,-72.59957057273174
1510 Pleasant Valley Road,Manchester,Connecticut (CT),06042,41.80636800909713,-72.55962599653733
560 Boston Post Rd,Orange,Connecticut (CT),06477,41.25104898645125,-73.01923399466054
1041 High Ridge Rd,Stamford,Connecticut (CT),06905,41.10689797955885,-73.54735701044433
1489 New Britain Ave,West Hartford,Connecticut (CT),06110,41.722908016165206,-72.75936197152332
400 Post Road E,Westport,Connecticut (CT),06880,41.14010200888853,-73.35211197536071
2101 Wisconsin Ave NW Suite A,Washington,District Of Columbia (DC),20007,38.917312984781944,-77.0686882441252
1914 14th St NW,Washington,District Of Columbia (DC),20009,38.91610087776374,-77.0322456569561
1101 25th Street NW,Washington,District Of Columbia (DC),20037,38.904198952440254,-77.05301450428227
